Lieu,Prix,Details,Lien,DerniereVue,Lat,Lon
Lille (Nord),528 CHF/mois,25 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Acol1oqdu04il7sa,2026-09-25,50.6283234,3.0650325
Lille (Nord),694 CHF/mois,42 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Afdgo58vg4subgps,2026-09-25,50.6350035,3.0185066
Lille (Nord),1 037 CHF/mois,79 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A3tp6dj2cf576ufe,2026-09-25,50.614472,3.0556519
Lille (Nord),651 CHF/mois,33 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Avo1leuz1hkj7ksi,2026-09-25,50.6066835,3.0424686
Lille (Nord),533 CHF/mois,14 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Asrsn8ozy5eb4qgq,2026-09-25,50.613,3.046
Lille (Nord),627 CHF/mois,52 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A0le8yxhjzyuoxim,2026-09-25,,
Lille (Nord),569 CHF/mois,34 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Arutmpsoandbp3j9,2026-09-25,50.64096,3.09116
Lille (Nord),750 CHF/mois,48 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Arwitqtaiswvvkxq,2026-09-25,50.64266,3.06416
Lille (Nord),471 CHF/mois,15 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aogh53wgbfld2pj6,2026-09-25,50.63851624003474,3.064197117093203
Lille (Nord),640 CHF/mois,33 m²,https://www.vizzit.fr/fr/property/appartement/lille/Ac1zrqdyi6yffo2t,2026-09-25,50.63649,3.05256
Lille (Nord),1 047 CHF/mois,75 m² - 3 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Aozhczf5wdq8r80f,2026-09-25,50.61529,3.04511
Lille (Nord),583 CHF/mois,29 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Aoylxz9hgyg1inyj,2026-09-25,50.63192,3.04915
Lille (Nord),1 603 CHF/mois,91 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Anc7vlttqu0hv9y1,2026-09-25,50.63695,3.03681
Lille (Nord),1 461 CHF/mois,91 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A2ftz64hgi673r1g,2026-09-25,50.63246,3.02793
Lille (Nord),933 CHF/mois,92 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Avw9zar4ov7peswc,2026-09-25,,
Lille (Nord),750 CHF/mois,34 m²,https://www.vizzit.fr/fr/property/appartement/lille/A2lpl6wkzmi91031,2026-09-25,50.64201328152368,3.0592236182588812
Lille (Nord),1 282 CHF/mois,69 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Afgweaqin9s4mb44,2026-09-25,,
Lille (Nord),896 CHF/mois,49 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Agizqysy28o02zpr,2026-09-25,,
Lille (Nord),855 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A7enva3oxbib7v72,2026-09-25,,
Lille (Nord),1 018 CHF/mois,53 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aiknni8mh33qfhip,2026-09-25,,
Lille (Nord),886 CHF/mois,46 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Axjrs6wn4up4sohk,2026-09-25,,
Lille (Nord),422 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A86i3dxqo0zd6e1y,2026-09-25,,
Lille (Nord),1 333 CHF/mois,114 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/Ascuwtksroc4ej39,2026-09-25,,
Lille (Nord),652 CHF/mois,39 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Adnibiv7aev9gbee,2026-09-25,50.62455,3.04166
Lille (Nord),943 CHF/mois,95 m² - 20 m² de terrain - 5 pièces,https://www.vizzit.fr/fr/property/immobilier/lille/Axbu0rr0gz1n2hu5,2026-09-25,50.629586,3.093389
Lille (Nord),589 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Awnqkq29li15blip,2026-09-25,,
Lille (Nord),1 179 CHF/mois,95 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aeiylvbnlxprgl4p,2026-09-25,,
Lille (Nord),335 CHF/mois,16 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ame814h218xdsw20,2026-09-25,,
Lille (Nord),1 055 CHF/mois,48 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aw766ls922wxxz6q,2026-09-25,,
Lille (Nord),865 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Avhob5j2se8hrvbo,2026-09-25,,
Lille (Nord),660 CHF/mois,32 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ak871lc81qs2p56l,2026-09-25,,
Lille (Nord),994 CHF/mois,51 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A6h224x2xt9w250h,2026-09-25,,
Lille (Nord),1 263 CHF/mois,86 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A32q0eyok0sc3py7,2026-09-25,,
Lille (Nord),731 CHF/mois,37 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ahbck29owsdd8epm,2026-09-25,,
Lille (Nord),870 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Apmc5amt6v7oygeu,2026-09-25,,
Lille (Nord),519 CHF/mois,23 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Aha1yfv3j1hj1c16,2026-09-25,,
Lille (Nord),886 CHF/mois,55 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A98pwy9cz15qt7xw,2026-09-25,,
Lille (Nord),574 CHF/mois,29 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A8b696a1vi64i7ph,2026-09-25,,
Lille (Nord),1 056 CHF/mois,68 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Atum0u0k6qsg45jr,2026-09-25,,
Lille (Nord),924 CHF/mois,68 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Abjlg86v6bfpmchf,2026-09-25,,
Lille (Nord),943 CHF/mois,54 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A4vvrbqe037nck3i,2026-09-25,,
Lille (Nord),651 CHF/mois,41 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Aqctq26508m07nap,2026-09-25,50.621,3.02168
Lille (Nord),641 CHF/mois,33 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Alqsxnli8wko7yov,2026-09-25,,
Lille (Nord),990 CHF/mois,74 m² - 5 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A5u05gp21g9heikf,2026-09-25,,
Lille (Nord),1 179 CHF/mois,58 m² - 2 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Am0dzlpcvtv6ph06,2026-09-25,,
Lille (Nord),909 CHF/mois,55 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Anuzf3608lwe3bvn,2026-09-25,,
Lille (Nord),660 CHF/mois,31 m² - 3 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Az3jdxmfx5z38m3d,2026-09-25,,
Lille (Nord),1 131 CHF/mois,80 m² - 35 m² de terrain - 3 pièces,https://www.vizzit.fr/fr/property/immobilier/lille/Ahwl63agt5qepbdt,2026-09-25,,
Lille (Nord),1 499 CHF/mois,131 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A477y421rlm8humy,2026-09-25,,
Lille (Nord),839 CHF/mois,42 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aajt0gui6ynzjet7,2026-09-25,,
Lille (Nord),1 127 CHF/mois,79 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aby1j54rutxb6cq6,2026-09-25,,
Lille (Nord),919 CHF/mois,50 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A6o0eb8k140zoodx,2026-09-25,,
Lille (Nord),748 CHF/mois,43 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aj4zyx637n0edmkv,2026-09-25,,
Lille (Nord),592 CHF/mois,24 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aipabldny17yyusz,2026-09-25,,
Lille (Nord),900 CHF/mois,47 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aih9b25vjtt753px,2026-09-25,,
Lille (Nord),1 707 CHF/mois,95 m² - 4 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Agxz5krdkulkiazk,2026-09-25,,
Lille (Nord),801 CHF/mois,38 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/An32uxdrff63rt3g,2026-09-25,,
Lille (Nord),707 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ardy2mlgqn28rukv,2026-09-25,,
Lille (Nord),693 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aaij87w8udiik6lv,2026-09-25,,
Lille (Nord),1 791 CHF/mois,160 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/Asm9mjkpbqx2wjql,2026-09-25,,
Lille (Nord),570 CHF/mois,28 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ac4e3u1us7y3lwa3,2026-09-25,,
Lille (Nord),896 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ah6h9zm4xe43y3qc,2026-09-25,,
Lille (Nord),622 CHF/mois,40 m² - 4 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A6sjh3gaadktyyrk,2026-09-25,,
Lille (Nord),801 CHF/mois,45 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Azvre59e3kblw4v6,2026-09-25,,
Lille (Nord),462 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A1dypjp8qrdwxmum,2026-09-25,,
Lille (Nord),1 131 CHF/mois,50 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aan3e7oliyzwh83f,2026-09-25,,
Lille (Nord),1 172 CHF/mois,82 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A0p54dmb7sqjac4d,2026-09-25,,
Lille (Nord),1 886 CHF/mois,71 m² - 5 pièces - 4 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aiwml2d98tdwp0mw,2026-09-25,,
Lille (Nord),571 CHF/mois,27 m²,https://www.vizzit.fr/fr/property/appartement/lille/Acb9iq3rteyfz8vp,2026-09-25,,
Lille (Nord),1 226 CHF/mois,105 m² - 150 m² de terrain - 4 pièces,https://www.vizzit.fr/fr/property/immobilier/lille/Ape0c0cuq1110lxh,2026-09-25,,
Lille (Nord),990 CHF/mois,65 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A0m4x6808v1znwzw,2026-09-25,,
Lille (Nord),707 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/immobilier/lille/Az8jruemyxhykqs0,2026-09-25,,
Lille (Nord),839 CHF/mois,100 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Axq6khyig3hotz05,2026-09-25,,
Lille (Nord),603 CHF/mois,36 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Alckl36rmsa21rge,2026-09-25,,
Lille (Nord),1 117 CHF/mois,55 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/At262mwqb50fermc,2026-09-25,,
Lille (Nord),639 CHF/mois,31 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/A10hj4ham1vdm2c5,2026-09-25,,
Lille (Nord),1 141 CHF/mois,55 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ajc1rjvif2hooko9,2026-09-25,,
Lille (Nord),1 117 CHF/mois,68 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A92jexdab8pq2pvh,2026-09-25,,
Lille (Nord),801 CHF/mois,74 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A32885152k3sit4d,2026-09-25,,
Lille (Nord),707 CHF/mois,38 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Az1tzttorxks7bif,2026-09-25,,
Lille (Nord),905 CHF/mois,11 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aa4zu9adaj15py9o,2026-09-25,,
Lille (Nord),707 CHF/mois,49 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Abv4184x5zjaca3i,2026-09-25,,
Lille (Nord),938 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A7x5f0r6t15thvov,2026-09-25,,
Lille (Nord),849 CHF/mois,52 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A7qat47aqf1rrs8d,2026-09-25,,
Lille (Nord),669 CHF/mois,29 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/A3vfnz5oae441x21,2026-09-25,,
Lille (Nord),943 CHF/mois,70 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Almpkjgqj1lh76dh,2026-09-25,,
Lille (Nord),792 CHF/mois,49 m² - 25 m² de terrain - 2 pièces,https://www.vizzit.fr/fr/property/immobilier/lille/Aa31y0d6qwnbziow,2026-09-25,,
Lille (Nord),622 CHF/mois,36 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Agwsiafnt0l4ik15,2026-09-25,,
Lille (Nord),707 CHF/mois,42 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aw6kr99znvi2yzao,2026-09-25,,
Lille (Nord),735 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A79khfn0qn8ptt4l,2026-09-25,,
Lille (Nord),811 CHF/mois,53 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A1jl61qf3inp3a11,2026-09-25,,
Lille (Nord),844 CHF/mois,37 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A28r74uehgory65c,2026-09-25,,
Lille (Nord),952 CHF/mois,69 m² - 4 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Apwg6m316w7ht5rm,2026-09-25,,
Lille (Nord),1 273 CHF/mois,98 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A9sb5yanhhfqps5p,2026-09-25,,
Lille (Nord),830 CHF/mois,55 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A1mi9iplpewq5lvb,2026-09-25,,
Lille (Nord),701 CHF/mois,57 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Axbhdbkegliygnmq,2026-09-25,,
Lille (Nord),660 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A9cibv9n8x9f0oqv,2026-09-25,,
Lille (Nord),1 393 CHF/mois,87 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ap9dhm8li7ggws7d,2026-09-25,,
Lille (Nord),820 CHF/mois,50 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ate3fyat9o6l189m,2026-09-25,,
Lille (Nord),627 CHF/mois,30 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A5vw8ougc63cgux8,2026-09-25,,
Lille (Nord),795 CHF/mois,29 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aehcf540gvkizwyc,2026-09-25,,
Lille (Nord),790 CHF/mois,35 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A9vos1lh4gaqjv0w,2026-09-25,,
Lille (Nord),669 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ak2tdl4otefeubi0,2026-09-25,,
Lille (Nord),646 CHF/mois,30 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Au53h3q3eaad7k4d,2026-09-25,,
Lille (Nord),735 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A4dsi74vzwevd92c,2026-09-25,,
Lille (Nord),580 CHF/mois,19 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Act91842wmh18r7r,2026-09-25,,
Lille (Nord),707 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Au97qo87tgduhok6,2026-09-25,,
Lille (Nord),566 CHF/mois,23 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ayhkcr2vheksv5dm,2026-09-25,,
Lille (Nord),641 CHF/mois,29 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Arlpltmv4jf2tzp0,2026-09-25,,
Lille (Nord),750 CHF/mois,47 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A42izlc3d9yplr7c,2026-09-25,,
Lille (Nord),667 CHF/mois,43 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/A2n2k2heijltwyqr,2026-09-25,,
Lille (Nord),706 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Az3shph6wilhqil4,2026-09-25,,
Lille (Nord),566 CHF/mois,16 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ab6evp1fbz62cnhj,2026-09-25,,
Lille (Nord),622 CHF/mois,32 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ajoskutp1nev3mw2,2026-09-25,,
Lille (Nord),735 CHF/mois,45 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ajj9qpocsazp3tix,2026-09-25,,
Lille (Nord),686 CHF/mois,43 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/A8mg8i6wl50a8ziz,2026-09-25,,
Lille (Nord),707 CHF/mois,38 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ah4iqogxl5wbdxwp,2026-09-25,,
Lille (Nord),660 CHF/mois,22 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ajh9ibfsz3pfd3c2,2026-09-25,,
Lille (Nord),834 CHF/mois,49 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ak28tl7jrzdshpyg,2026-09-25,,
Lille (Nord),745 CHF/mois,36 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ad7squy7z1r3pt61,2026-09-25,,
Lille (Nord),799 CHF/mois,35 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Azbybrv3ti8xrzke,2026-09-25,,
Lille (Nord),849 CHF/mois,76 m² - 3 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aug430xiv1iavqb4,2026-09-25,,
